PolicyName;Namespace;PodSelector;PolicyTypes;Ingress;Egress
gateway-network-policy;default;{'matchLabels': {'app': 'api-gateway'}};['Ingress', 'Egress'];[{'from': [{'podSelector': {'matchLabels': {'app': 'webapp'}}}]}];[{'to': [{'podSelector': {'matchLabels': {'app': 'staff-service'}}}, {'podSelector': {'matchLabels': {'app': 'position-tracker'}}}]}]
position-simulator-network-policy;fleetman;{'matchLabels': {'app': 'position-simulator'}};['Egress'];None;[{'ports': [{'port': 8080, 'protocol': 'TCP'}], 'to': [{'podSelector': {'matchLabels': {'app': 'staff-service'}}}, {'podSelector': {'matchLabels': {'app': 'position-simulator'}}}]}]
position-tracker-network-policy;fleetman;{'matchLabels': {'app': 'position-tracker'}};['Ingress', 'Egress'];[{'from': [{'podSelector': {'matchLabels': {'app': 'api-gateway'}}}, {'podSelector': {'matchLabels': {'app': 'position-simulator'}}}]}];[{'to': [{'podSelector': {'matchLabels': {'app': 'staff-service'}}}, {'podSelector': {'matchLabels': {'app': 'vehicle-telemetry'}}}]}]
staff-service-network-policy;fleetman;{'matchLabels': {'app': 'staff-service'}};['Ingress', 'Egress'];[{'from': [{'podSelector': {'matchLabels': {'app': 'position-tracker'}}}, {'podSelector': {'matchLabels': {'app': 'api-gateway'}}}]}];Deny
vehicle-telemetry-network-policy;fleetman;{'matchLabels': {'app': 'vehicle-telemetry'}};['Ingress', 'Egress'];[{'from': [{'podSelector': {'matchLabels': {'app': 'position-tracker'}}}]}];Deny
